"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"======================Position: 0 | DeviceType: TRAK ======================","","","","","",""
"System ID","192.168.12.73",0,0,3,"'5452414B0000","TRAK"
"Site Name","192.168.12.73",0,3,10,"'736974652037332E000000000000000000000000","site 73."
"Organization","192.168.12.73",0,13,10,"'556E6B6E6F776E204F7267670000000000000000","Unknown Orgg"
"Contact","192.168.12.73",0,23,10,"'7A6967726F6E207076742E2E2E00000000000000","zigron pvt..."
"System Uptime","192.168.12.73",0,33,4,"'0000000000001094","4244"
"SW Version","192.168.12.73",0,37,8,"'332E312E360000000000000000000000","3.1.6"
"Has WX","192.168.12.73",0,45,1,"'0000",0
"E-Stop Active","192.168.12.73",0,46,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,47,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,48,1,"'0001",1
"Panel Angle","192.168.12.73",0,49,2,"'409B3A78",4.850887298583984
"Tracking State","192.168.12.73",0,51,1,"'0007",7
"Unit Temp","192.168.12.73",0,52,2,"'42C93333",100.5999984741211
"Battery Voltage","192.168.12.73",0,54,2,"'4149999A",12.600000381469727
"Battery Current","192.168.12.73",0,56,2,"'3E6B851F",0.23000000417232513
"Battery Charged","192.168.12.73",0,58,1,"'0000",0
"Battery Health","192.168.12.73",0,59,1,"'0064",100
"Charger Voltage","192.168.12.73",0,60,2,"'00000000",0
"Charger Current","192.168.12.73",0,62,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,64,2,"'00000000",0
"Solar Current","192.168.12.73",0,66,2,"'00000000",0
"Total Assets","192.168.12.73",0,68,1,"'0004",4
"Assets Reporting","192.168.12.73",0,69,1,"'0004",4
"Poll Response Time","192.168.12.73",0,70,4,"'00000000689C933E","1755091774"
"Bridge Addr","192.168.12.73",0,74,2,"'0019B155",1683797
"Bridge Script CRC","192.168.12.73",0,76,1,"'0E74",3700
"Bridge Channel","192.168.12.73",0,77,1,"'000B",11
"Bridge NET_ID","192.168.12.73",0,78,1,"'BEEF",48879
"GPS Fix Acquired","192.168.12.73",0,79,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,80,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,84,1,"'0000",0
"Latitude","192.168.12.73",0,85,2,"'00000000",0
"Longitude","192.168.12.73",0,87,2,"'00000000",0
"PPP Up","192.168.12.73",0,89,1,"'0000",0
"RSSI","192.168.12.73",0,90,1,"'0000",0
"WAN IP","192.168.12.73",0,91,8,"'4E6F7420416371756972656400000000","Not Acquired"
"LAN IP","192.168.12.73",0,99,8,"'4E6F7420416371756972656400000000","Not Acquired"
"Modem Uptime","192.168.12.73",0,107,2,"'00000000",0
"NTP Sync","192.168.12.73",0,109,1,"'0000",0
"NTP Server","192.168.12.73",0,110,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,126,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,128,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,132,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,133,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,153,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,157,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,158,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,178,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,182,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,183,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,203,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,207,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,208,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,228,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,232,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,233,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,253,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,257,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,258,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,278,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,282,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,283,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,303,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,307,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,308,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,328,1,"'000B",11
"Site Type","192.168.12.73",0,329,1,"'0002",2
"Stow Logic","192.168.12.73",0,330,1,"'0001",1
"====================================================================================================","","","","","",""
"","","","","","",""
