"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"======================Position: 0 | DeviceType: Tracker ======================","","","","","",""
"Device Type","192.168.12.73",1,0,8,"'547261636B6572000000000000000000","Tracker"
"Last Reported","192.168.12.73",1,8,4,"'00000000689C931E","1755091742"
"Model Number","192.168.12.73",1,12,8,"'5454432D330000000000000000000000","TTC-3"
"HW Rev","192.168.12.73",1,20,8,"'33000000000000000000000000000000","3"
"FW Rev","192.168.12.73",1,28,8,"'382E3400000000000000000000000000","8.4"
"Uptime","192.168.12.73",1,36,2,"'000946B8",607928
"SNAP Addr","192.168.12.73",1,38,2,"'001BEBE7","0x001BEBE7"
"RSSI","192.168.12.73",1,40,1,"'000D",13
"Has WX Sensor","192.168.12.73",1,41,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,42,1,"'0001",1
"Location Text","192.168.12.73",1,43,16,"'3537360000000000000000000000000000000000000000000000000000000000","576"
"Latitude","192.168.12.73",1,59,2,"'4206AD7B",33.66941452026367
"Longitude","192.168.12.73",1,61,2,"'429216F4",73.04483032226562
"Config Flags","192.168.12.73",1,63,2,"'000000C5",197
"Battery Voltage","192.168.12.73",1,65,2,"'4151999A",13.100000381469727
"Battery Current","192.168.12.73",1,67,2,"'3D4CCCCD",0.05000000074505806
"Battery Charged","192.168.12.73",1,69,1,"'005D",93
"Battery Health","192.168.12.73",1,70,1,"'0064",100
"Charger Voltage","192.168.12.73",1,71,2,"'00000000",0
"Charger Current","192.168.12.73",1,73,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,75,2,"'00000000",0
"Solar Current","192.168.12.73",1,77,2,"'00000000",0
"Controller Status","192.168.12.73",1,79,2,"'0000000C",12
"Tracking Status","192.168.12.73",1,81,1,"'0000",0
"Current Angle","192.168.12.73",1,82,2,"'BF99999A",-1.2000000476837158
"Requested Angle","192.168.12.73",1,84,2,"'406CCCCD",3.700000047683716
"Motor Power (Prev Hr)","192.168.12.73",1,86,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,88,2,"'C099999A",-4.800000190734863
"Wind Speed","192.168.12.73",1,90,2,"'00000000",0
"Wind Direction","192.168.12.73",1,92,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,94,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,96,2,"'00000000",0
"Snow Temp","192.168.12.73",1,98,2,"'00000000",0
"Snow Distance","192.168.12.73",1,100,2,"'00000000",0
"Snow Depth","192.168.12.73",1,102,2,"'00000000",0
"Row Locked","192.168.12.73",1,104,1,"'0001",1
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 1 | DeviceType: Tracker ======================","","","","","",""
"Device Type","192.168.12.73",1,512,8,"'547261636B6572000000000000000000","Tracker"
"Last Reported","192.168.12.73",1,520,4,"'00000000689C9329","1755091753"
"Model Number","192.168.12.73",1,524,8,"'5454432D322B57580000000000000000","TTC-2+WX"
"HW Rev","192.168.12.73",1,532,8,"'33000000000000000000000000000000","3"
"FW Rev","192.168.12.73",1,540,8,"'382E3400000000000000000000000000","8.4"
"Uptime","192.168.12.73",1,548,2,"'000947EE",608238
"SNAP Addr","192.168.12.73",1,550,2,"'0013B4B8","0x0013B4B8"
"RSSI","192.168.12.73",1,552,1,"'0034",52
"Has WX Sensor","192.168.12.73",1,553,1,"'0001",1
"Has Tracker HW","192.168.12.73",1,554,1,"'0001",1
"Location Text","192.168.12.73",1,555,16,"'3630300000000000000000000000000000000000000000000000000000000000","600"
"Latitude","192.168.12.73",1,571,2,"'4206AD7B",33.66941452026367
"Longitude","192.168.12.73",1,573,2,"'429216F4",73.04483032226562
"Config Flags","192.168.12.73",1,575,2,"'000000C5",197
"Battery Voltage","192.168.12.73",1,577,2,"'41580000",13.5
"Battery Current","192.168.12.73",1,579,2,"'3CA3D70A",0.019999999552965164
"Battery Charged","192.168.12.73",1,581,1,"'0064",100
"Battery Health","192.168.12.73",1,582,1,"'0064",100
"Charger Voltage","192.168.12.73",1,583,2,"'00000000",0
"Charger Current","192.168.12.73",1,585,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,587,2,"'418F3333",17.899999618530273
"Solar Current","192.168.12.73",1,589,2,"'3CF5C28F",0.029999999329447746
"Controller Status","192.168.12.73",1,591,2,"'00000000",0
"Tracking Status","192.168.12.73",1,593,1,"'0000",0
"Current Angle","192.168.12.73",1,594,2,"'BF333333",-0.699999988079071
"Requested Angle","192.168.12.73",1,596,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,598,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,600,2,"'C18B3333",-17.399999618530273
"Wind Speed","192.168.12.73",1,602,2,"'00000000",0
"Wind Direction","192.168.12.73",1,604,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,606,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,608,2,"'00000000",0
"Snow Temp","192.168.12.73",1,610,2,"'00000000",0
"Snow Distance","192.168.12.73",1,612,2,"'00000000",0
"Snow Depth","192.168.12.73",1,614,2,"'00000000",0
"Row Locked","192.168.12.73",1,616,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 2 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,1024,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,1032,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,1036,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,1044,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,1052,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,1060,2,"'00000000",0
"SNAP Addr","192.168.12.73",1,1062,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,1064,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,1065,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,1066,1,"'0000",0
"Location Text","192.168.12.73",1,1067,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,1083,2,"'00000000",0
"Longitude","192.168.12.73",1,1085,2,"'00000000",0
"Config Flags","192.168.12.73",1,1087,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,1089,2,"'00000000",0
"Battery Current","192.168.12.73",1,1091,2,"'00000000",0
"Battery Charged","192.168.12.73",1,1093,1,"'0000",0
"Battery Health","192.168.12.73",1,1094,1,"'0000",0
"Charger Voltage","192.168.12.73",1,1095,2,"'00000000",0
"Charger Current","192.168.12.73",1,1097,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,1099,2,"'00000000",0
"Solar Current","192.168.12.73",1,1101,2,"'00000000",0
"Controller Status","192.168.12.73",1,1103,2,"'00000000",0
"Tracking Status","192.168.12.73",1,1105,1,"'0000",0
"Current Angle","192.168.12.73",1,1106,2,"'00000000",0
"Requested Angle","192.168.12.73",1,1108,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,1110,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,1112,2,"'00000000",0
"Wind Speed","192.168.12.73",1,1114,2,"'00000000",0
"Wind Direction","192.168.12.73",1,1116,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,1118,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,1120,2,"'00000000",0
"Snow Temp","192.168.12.73",1,1122,2,"'00000000",0
"Snow Distance","192.168.12.73",1,1124,2,"'00000000",0
"Snow Depth","192.168.12.73",1,1126,2,"'00000000",0
"Row Locked","192.168.12.73",1,1128,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 3 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,1536,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,1544,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,1548,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,1556,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,1564,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,1572,2,"'00000000",0
"SNAP Addr","192.168.12.73",1,1574,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,1576,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,1577,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,1578,1,"'0000",0
"Location Text","192.168.12.73",1,1579,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,1595,2,"'00000000",0
"Longitude","192.168.12.73",1,1597,2,"'00000000",0
"Config Flags","192.168.12.73",1,1599,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,1601,2,"'00000000",0
"Battery Current","192.168.12.73",1,1603,2,"'00000000",0
"Battery Charged","192.168.12.73",1,1605,1,"'0000",0
"Battery Health","192.168.12.73",1,1606,1,"'0000",0
"Charger Voltage","192.168.12.73",1,1607,2,"'00000000",0
"Charger Current","192.168.12.73",1,1609,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,1611,2,"'00000000",0
"Solar Current","192.168.12.73",1,1613,2,"'00000000",0
"Controller Status","192.168.12.73",1,1615,2,"'00000000",0
"Tracking Status","192.168.12.73",1,1617,1,"'0000",0
"Current Angle","192.168.12.73",1,1618,2,"'00000000",0
"Requested Angle","192.168.12.73",1,1620,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,1622,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,1624,2,"'00000000",0
"Wind Speed","192.168.12.73",1,1626,2,"'00000000",0
"Wind Direction","192.168.12.73",1,1628,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,1630,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,1632,2,"'00000000",0
"Snow Temp","192.168.12.73",1,1634,2,"'00000000",0
"Snow Distance","192.168.12.73",1,1636,2,"'00000000",0
"Snow Depth","192.168.12.73",1,1638,2,"'00000000",0
"Row Locked","192.168.12.73",1,1640,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 4 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,2048,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,2056,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,2060,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,2068,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,2076,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,2084,2,"'00000000",0
"SNAP Addr","192.168.12.73",1,2086,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",1,2088,1,"'0000",0
"Has WX Sensor","192.168.12.73",1,2089,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,2090,1,"'0000",0
"Location Text","192.168.12.73",1,2091,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,2107,2,"'00000000",0
"Longitude","192.168.12.73",1,2109,2,"'00000000",0
"Config Flags","192.168.12.73",1,2111,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,2113,2,"'00000000",0
"Battery Current","192.168.12.73",1,2115,2,"'00000000",0
"Battery Charged","192.168.12.73",1,2117,1,"'0000",0
"Battery Health","192.168.12.73",1,2118,1,"'0000",0
"Charger Voltage","192.168.12.73",1,2119,2,"'00000000",0
"Charger Current","192.168.12.73",1,2121,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,2123,2,"'00000000",0
"Solar Current","192.168.12.73",1,2125,2,"'00000000",0
"Controller Status","192.168.12.73",1,2127,2,"'00000000",0
"Tracking Status","192.168.12.73",1,2129,1,"'0000",0
