"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"======================Position: 0 | DeviceType: Weather ======================","","","","","",""
"Device Type","192.168.12.73",3,0,8,"'57656174686572000000000000000000","Weather"
"Last Reported","192.168.12.73",3,8,4,"'00000000689C9333","1755091763"
"Model Number","192.168.12.73",3,12,8,"'57582D31000000000000000000000000","WX-1"
"HW Rev","192.168.12.73",3,20,8,"'33000000000000000000000000000000","3"
"FW Rev","192.168.12.73",3,28,8,"'382E3400000000000000000000000000","8.4"
"Uptime","192.168.12.73",3,36,2,"'00005902",22786
"SNAP Addr","192.168.12.73",3,38,2,"'0013B537","0x0013B537"
"RSSI","192.168.12.73",3,40,1,"'000F",15
"Has WX Sensor","192.168.12.73",3,41,1,"'0001",1
"Has Tracker HW","192.168.12.73",3,42,1,"'0000",0
"Location Text","192.168.12.73",3,43,16,"'3200000000000000000000000000000000000000000000000000000000000000","2"
"Latitude","192.168.12.73",3,59,2,"'4206AD7B",33.66941452026367
"Longitude","192.168.12.73",3,61,2,"'429216F4",73.04483032226562
"Config Flags","192.168.12.73",3,63,2,"'00000010",16
"Battery Voltage","192.168.12.73",3,65,2,"'41500000",13
"Battery Current","192.168.12.73",3,67,2,"'3DB851EC",0.09000000357627869
"Battery Charged","192.168.12.73",3,69,1,"'0015",21
"Battery Health","192.168.12.73",3,70,1,"'0064",100
"Charger Voltage","192.168.12.73",3,71,2,"'00000000",0
"Charger Current","192.168.12.73",3,73,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,75,2,"'00000000",0
"Solar Current","192.168.12.73",3,77,2,"'00000000",0
"Controller Status","192.168.12.73",3,79,2,"'00000008",8
"Tracking Status","192.168.12.73",3,81,1,"'0000",0
"Current Angle","192.168.12.73",3,82,2,"'00000000",0
"Requested Angle","192.168.12.73",3,84,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,86,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,88,2,"'00000000",0
"Wind Speed","192.168.12.73",3,90,2,"'3DCCCCCD",0.10000000149011612
"Wind Direction","192.168.12.73",3,92,2,"'3DCCCCCD",0.10000000149011612
"Avg Wind Speed","192.168.12.73",3,94,2,"'3DCCCCCD",0.10000000149011612
"Peak Wind Speed","192.168.12.73",3,96,2,"'3DCCCCCD",0.10000000149011612
"Snow Temp","192.168.12.73",3,98,2,"'3DCCCCCD",0.10000000149011612
"Snow Distance","192.168.12.73",3,100,2,"'3A83126F",0.0010000000474974513
"Snow Depth","192.168.12.73",3,102,2,"'3A83126F",0.0010000000474974513
"Row Locked","192.168.12.73",3,104,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 1 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,512,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,520,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,524,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,532,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,540,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,548,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,550,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,552,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,553,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,554,1,"'0000",0
"Location Text","192.168.12.73",3,555,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,571,2,"'00000000",0
"Longitude","192.168.12.73",3,573,2,"'00000000",0
"Config Flags","192.168.12.73",3,575,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,577,2,"'00000000",0
"Battery Current","192.168.12.73",3,579,2,"'00000000",0
"Battery Charged","192.168.12.73",3,581,1,"'0000",0
"Battery Health","192.168.12.73",3,582,1,"'0000",0
"Charger Voltage","192.168.12.73",3,583,2,"'00000000",0
"Charger Current","192.168.12.73",3,585,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,587,2,"'00000000",0
"Solar Current","192.168.12.73",3,589,2,"'00000000",0
"Controller Status","192.168.12.73",3,591,2,"'00000000",0
"Tracking Status","192.168.12.73",3,593,1,"'0000",0
"Current Angle","192.168.12.73",3,594,2,"'00000000",0
"Requested Angle","192.168.12.73",3,596,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,598,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,600,2,"'00000000",0
"Wind Speed","192.168.12.73",3,602,2,"'00000000",0
"Wind Direction","192.168.12.73",3,604,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,606,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,608,2,"'00000000",0
"Snow Temp","192.168.12.73",3,610,2,"'00000000",0
"Snow Distance","192.168.12.73",3,612,2,"'00000000",0
"Snow Depth","192.168.12.73",3,614,2,"'00000000",0
"Row Locked","192.168.12.73",3,616,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 2 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,1024,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,1032,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,1036,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,1044,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,1052,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,1060,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,1062,2,"'00000000","0x00000000"
