"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
1,"System ID","192.168.12.73",100,0,3,"'5452414B0000","TRAK"
1,"Site Name","192.168.12.73",100,3,10,"'736974652037332E000000000000000000000000","site 73."
1,"Organization","192.168.12.73",100,13,10,"'556E6B6E6F776E204F7267670000000000000000","Unknown Orgg"
1,"Contact","192.168.12.73",100,23,10,"'7A6967726F6E207076742E2E2E00000000000000","zigron pvt..."
1,"System Uptime","192.168.12.73",100,33,4,"'0000000000001057","4183"
1,"SW Version","192.168.12.73",100,37,8,"'332E312E360000000000000000000000","3.1.6"
1,"Has WX","192.168.12.73",100,45,1,"'0000",0
1,"E-Stop Active","192.168.12.73",100,46,1,"'0000",0
1,"Tracking Enabled","192.168.12.73",100,47,1,"'0000",0
1,"Backtracking Enabled","192.168.12.73",100,48,1,"'0001",1
1,"Panel Angle","192.168.12.73",100,49,2,"'40A1BC1D",5.054213047027588
1,"Tracking State","192.168.12.73",100,51,1,"'0007",7
1,"Unit Temp","192.168.12.73",100,52,2,"'42C53333",98.5999984741211
1,"Battery Voltage","192.168.12.73",100,54,2,"'4149999A",12.600000381469727
1,"Battery Current","192.168.12.73",100,56,2,"'3EC7AE14",0.38999998569488525
1,"Battery Charged","192.168.12.73",100,58,1,"'0000",0
1,"Battery Health","192.168.12.73",100,59,1,"'0064",100
1,"Charger Voltage","192.168.12.73",100,60,2,"'00000000",0
1,"Charger Current","192.168.12.73",100,62,2,"'00000000",0
1,"Solar Voltage","192.168.12.73",100,64,2,"'00000000",0
1,"Solar Current","192.168.12.73",100,66,2,"'00000000",0
1,"Total Assets","192.168.12.73",100,68,1,"'0004",4
1,"Assets Reporting","192.168.12.73",100,69,1,"'0004",4
1,"Poll Response Time","192.168.12.73",100,70,4,"'00000000689C9304","1755091716"
1,"Bridge Addr","192.168.12.73",100,74,2,"'0019B155",1683797
1,"Bridge Script CRC","192.168.12.73",100,76,1,"'0E74",3700
1,"Bridge Channel","192.168.12.73",100,77,1,"'000B",11
1,"Bridge NET_ID","192.168.12.73",100,78,1,"'BEEF",48879
1,"GPS Fix Acquired","192.168.12.73",100,79,1,"'0000",0
1,"GPS Fix Time","192.168.12.73",100,80,4,"'0000000000000000","0"
1,"Satellites","192.168.12.73",100,84,1,"'0000",0
1,"Latitude","192.168.12.73",100,85,2,"'00000000",0
1,"Longitude","192.168.12.73",100,87,2,"'00000000",0
1,"PPP Up","192.168.12.73",100,89,1,"'0000",0
1,"RSSI","192.168.12.73",100,90,1,"'0000",0
1,"WAN IP","192.168.12.73",100,91,8,"'4E6F7420416371756972656400000000","Not Acquired"
1,"LAN IP","192.168.12.73",100,99,8,"'4E6F7420416371756972656400000000","Not Acquired"
1,"Modem Uptime","192.168.12.73",100,107,2,"'00000000",0
1,"NTP Sync","192.168.12.73",100,109,1,"'0000",0
1,"NTP Server","192.168.12.73",100,110,16,"'00",""
1,"NTP Offset","192.168.12.73",100,126,2,"'00000000",0
1,"Alert 1 Time","192.168.12.73",100,128,4,"'0000000000000000","0"
1,"Alert 1 Type","192.168.12.73",100,132,1,"'0000",0
1,"Alert 1 Message","192.168.12.73",100,133,20,"'00",""
1,"Alert 2 Time","192.168.12.73",100,153,4,"'0000000000000000","0"
1,"Alert 2 Type","192.168.12.73",100,157,1,"'0000",0
1,"Alert 2 Message","192.168.12.73",100,158,20,"'00",""
1,"Alert 3 Time","192.168.12.73",100,178,4,"'0000000000000000","0"
1,"Alert 3 Type","192.168.12.73",100,182,1,"'0000",0
1,"Alert 3 Message","192.168.12.73",100,183,20,"'00",""
1,"Alert 4 Time","192.168.12.73",100,203,4,"'0000000000000000","0"
1,"Alert 4 Type","192.168.12.73",100,207,1,"'0000",0
1,"Alert 4 Message","192.168.12.73",100,208,20,"'00",""
1,"Alert 5 Time","192.168.12.73",100,228,4,"'0000000000000000","0"
1,"Alert 5 Type","192.168.12.73",100,232,1,"'0000",0
1,"Alert 5 Message","192.168.12.73",100,233,20,"'00",""
1,"Alert 6 Time","192.168.12.73",100,253,4,"'0000000000000000","0"
1,"Alert 6 Type","192.168.12.73",100,257,1,"'0000",0
1,"Alert 6 Message","192.168.12.73",100,258,20,"'00",""
1,"Alert 7 Time","192.168.12.73",100,278,4,"'0000000000000000","0"
1,"Alert 7 Type","192.168.12.73",100,282,1,"'0000",0
1,"Alert 7 Message","192.168.12.73",100,283,20,"'00",""
1,"Alert 8 Time","192.168.12.73",100,303,4,"'0000000000000000","0"
1,"Alert 8 Type","192.168.12.73",100,307,1,"'0000",0
1,"Alert 8 Message","192.168.12.73",100,308,20,"'00",""
1,"Site Operational Mode","192.168.12.73",100,328,1,"'000B",11
1,"Site Type","192.168.12.73",100,329,1,"'0002",2
1,"Stow Logic","192.168.12.73",100,330,1,"'0001",1
