"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
1,"Device Type","192.168.12.73",1,0,8,"'00",""
1,"Last Reported","192.168.12.73",1,8,4,"'0000000000000000","0"
1,"Model Number","192.168.12.73",1,12,8,"'00",""
1,"HW Rev","192.168.12.73",1,20,8,"'4E6F6E65000000000000000000000000","None"
1,"FW Rev","192.168.12.73",1,28,8,"'00",""
1,"Uptime","192.168.12.73",1,36,2,"'00000000",0
1,"SNAP Addr","192.168.12.73",1,38,2,"'00","0x00"
1,"RSSI","192.168.12.73",1,40,1,"'0000",0
1,"Has WX Sensor","192.168.12.73",1,41,1,"'0000",0
1,"Has Tracker HW","192.168.12.73",1,42,1,"'0000",0
1,"Location Text","192.168.12.73",1,43,16,"'00",""
1,"Latitude","192.168.12.73",1,59,2,"'00000000",0
1,"Longitude","192.168.12.73",1,61,2,"'00000000",0
1,"Config Flags","192.168.12.73",1,63,2,"'00000000",0
1,"Battery Voltage","192.168.12.73",1,65,2,"'00000000",0
1,"Battery Current","192.168.12.73",1,67,2,"'00000000",0
1,"Battery Charged","192.168.12.73",1,69,1,"'0000",0
1,"Battery Health","192.168.12.73",1,70,1,"'0000",0
1,"Charger Voltage","192.168.12.73",1,71,2,"'00000000",0
1,"Charger Current","192.168.12.73",1,73,2,"'00000000",0
1,"Solar Voltage","192.168.12.73",1,75,2,"'00000000",0
1,"Solar Current","192.168.12.73",1,77,2,"'00000000",0
1,"Controller Status","192.168.12.73",1,79,2,"'00000000",0
1,"Tracking Status","192.168.12.73",1,81,1,"'0000",0
1,"Current Angle","192.168.12.73",1,82,2,"'00000000",0
1,"Requested Angle","192.168.12.73",1,84,2,"'00000000",0
1,"Motor Power (Prev Hr)","192.168.12.73",1,86,2,"'00000000",0
1,"Angular Error (Prev Hr)","192.168.12.73",1,88,2,"'00000000",0
1,"Wind Speed","192.168.12.73",1,90,2,"'00000000",0
1,"Wind Direction","192.168.12.73",1,92,2,"'00000000",0
1,"Avg Wind Speed","192.168.12.73",1,94,2,"'00000000",0
1,"Peak Wind Speed","192.168.12.73",1,96,2,"'00000000",0
1,"Snow Temp","192.168.12.73",1,98,2,"'00000000",0
1,"Snow Distance","192.168.12.73",1,100,2,"'00000000",0
1,"Snow Depth","192.168.12.73",1,102,2,"'00000000",0
1,"Row Locked","192.168.12.73",1,104,1,"'0000",0
2,"Device Type","192.168.12.73",1,512,8,"'00",""
2,"Last Reported","192.168.12.73",1,520,4,"'0000000000000000","0"
2,"Model Number","192.168.12.73",1,524,8,"'00",""
2,"HW Rev","192.168.12.73",1,532,8,"'4E6F6E65000000000000000000000000","None"
2,"FW Rev","192.168.12.73",1,540,8,"'00",""
2,"Uptime","192.168.12.73",1,548,2,"'00000000",0
2,"SNAP Addr","192.168.12.73",1,550,2,"'00","0x00"
2,"RSSI","192.168.12.73",1,552,1,"'0000",0
2,"Has WX Sensor","192.168.12.73",1,553,1,"'0000",0
2,"Has Tracker HW","192.168.12.73",1,554,1,"'0000",0
2,"Location Text","192.168.12.73",1,555,16,"'00",""
