"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
1,"Device Type","192.168.12.73",101,0,8,"'00",""
1,"Last Reported","192.168.12.73",101,8,4,"'0000000000000000","0"
1,"Model Number","192.168.12.73",101,12,8,"'00",""
1,"HW Rev","192.168.12.73",101,20,8,"'4E6F6E65000000000000000000000000","None"
1,"FW Rev","192.168.12.73",101,28,8,"'00",""
1,"Uptime","192.168.12.73",101,36,2,"'00000000",0
1,"SNAP Addr","192.168.12.73",101,38,2,"'00","0x00"
1,"RSSI","192.168.12.73",101,40,1,"'0000",0
1,"Has WX Sensor","192.168.12.73",101,41,1,"'0000",0
1,"Has Tracker HW","192.168.12.73",101,42,1,"'0000",0
1,"Location Text","192.168.12.73",101,43,16,"'00",""
1,"Latitude","192.168.12.73",101,59,2,"'00000000",0
1,"Longitude","192.168.12.73",101,61,2,"'00000000",0
1,"Config Flags","192.168.12.73",101,63,2,"'00000000",0
1,"Battery Voltage","192.168.12.73",101,65,2,"'00000000",0
1,"Battery Current","192.168.12.73",101,67,2,"'00000000",0
1,"Battery Charged","192.168.12.73",101,69,1,"'0000",0
1,"Battery Health","192.168.12.73",101,70,1,"'0000",0
1,"Charger Voltage","192.168.12.73",101,71,2,"'00000000",0
1,"Charger Current","192.168.12.73",101,73,2,"'00000000",0
1,"Solar Voltage","192.168.12.73",101,75,2,"'00000000",0
1,"Solar Current","192.168.12.73",101,77,2,"'00000000",0
1,"Controller Status","192.168.12.73",101,79,2,"'00000000",0
1,"Tracking Status","192.168.12.73",101,81,1,"'0000",0
1,"Current Angle","192.168.12.73",101,82,2,"'00000000",0
1,"Requested Angle","192.168.12.73",101,84,2,"'00000000",0
1,"Motor Power (Prev Hr)","192.168.12.73",101,86,2,"'00000000",0
1,"Angular Error (Prev Hr)","192.168.12.73",101,88,2,"'00000000",0
1,"Wind Speed","192.168.12.73",101,90,2,"'00000000",0
1,"Wind Direction","192.168.12.73",101,92,2,"'00000000",0
1,"Avg Wind Speed","192.168.12.73",101,94,2,"'00000000",0
1,"Peak Wind Speed","192.168.12.73",101,96,2,"'00000000",0
1,"Snow Temp","192.168.12.73",101,98,2,"'00000000",0
1,"Snow Distance","192.168.12.73",101,100,2,"'00000000",0
1,"Snow Depth","192.168.12.73",101,102,2,"'00000000",0
1,"Row Locked","192.168.12.73",101,104,1,"'0000",0
2,"Device Type","192.168.12.73",101,512,8,"'57656174686572000000000000000000","Weather"
2,"Last Reported","192.168.12.73",101,520,4,"'00000000689C92FE","1755091710"
2,"Model Number","192.168.12.73",101,524,8,"'57582D31000000000000000000000000","WX-1"
2,"HW Rev","192.168.12.73",101,532,8,"'33000000000000000000000000000000","3"
2,"FW Rev","192.168.12.73",101,540,8,"'382E3400000000000000000000000000","8.4"
2,"Uptime","192.168.12.73",101,548,2,"'000058D6",22742
2,"SNAP Addr","192.168.12.73",101,550,2,"'13B537","0x13B537"
2,"RSSI","192.168.12.73",101,552,1,"'000F",15
2,"Has WX Sensor","192.168.12.73",101,553,1,"'0001",1
2,"Has Tracker HW","192.168.12.73",101,554,1,"'0000",0
2,"Location Text","192.168.12.73",101,555,16,"'3200000000000000000000000000000000000000000000000000000000000000","2"
2,"Latitude","192.168.12.73",101,571,2,"'4206AD7B",33.66941452026367
2,"Longitude","192.168.12.73",101,573,2,"'429216F4",73.04483032226562
2,"Config Flags","192.168.12.73",101,575,2,"'00000010",16
